price,mileage,power,gears,co_emissions,age,make_Fiat,make_Ford,make_Hyundai,make_Mercedes Benz,make_Nissan,make_Opel,make_Peugeot,make_Renault,make_Seat,make_Skoda,make_Toyota,make_Volvo,body_type_Convertible,body_type_Coupe,body_type_Off-Road/Pick-up,body_type_Sedan,body_type_Station wagon,gearbox_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG/CNG,fuel_type_Other,seller_Private seller,emission_class_Other,previous_owner_Second Hand,entertainment_media_count_Upgrated,engine_size_cat_High,engine_size_cat_Low,engine_size_cat_Medium,comfort_convenience_cat_standard
16950,120200.0,75.0,6.0,101.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
46990,18995.0,225.0,7.0,170.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16800,197000.0,100.0,7.0,82.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
4690,165000.0,90.0,6.0,196.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
22550,83339.0,90.0,7.0,94.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
26900,48900.0,140.0,7.0,141.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44999,56876.0,225.0,7.0,168.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23900,21854.0,102.0,7.0,99.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
14200,99016.0,66.0,5.0,98.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
37999,90000.0,280.0,7.0,162.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
23999,25914.0,155.0,7.0,145.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
24400,27150.0,85.0,6.0,120.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
16999,210000.0,100.0,7.0,101.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
7450,157500.0,80.0,6.0,138.0,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
